NO fold jump backmuscles grip run50m longjump throwball pullup
1 46 55 126 51 6.8 489 27 8
2 52 55 95 42 7.2 464 30 5
3 46 69 107 38 6.8 430 32 9
4 49 50 105 48 6.8 362 26 6
5 42 55 90 46 7.2 453 23 11
6 48 61 126 43 7.0 405 29 7
7 49 60 100 49 7.0 420 21 10
8 48 63 122 52 7.1 466 28 2
9 45 55 105 48 6.8 415 24 6
10 48 64 120 38 7.1 413 28 7
11 49 52 100 42 7.4 404 23 6
12 47 62 100 34 7.2 427 25 7
13 41 51 101 53 8.0 372 25 3
14 52 55 125 43 6.8 496 30 10
15 45 52 94 50 7.6 394 24 3
16 49 57 110 47 7.0 446 30 11
17 53 65 112 47 6.6 446 30 12
18 47 57 95 47 6.6 420 25 4
19 48 60 120 47 6.8 447 28 11
20 49 55 113 41 7.0 398 27 4
21 48 69 128 42 7.1 485 30 7
22 42 57 122 46 7.2 400 28 6
23 54 64 155 51 6.9 511 33 12
24 53 63 120 42 7.5 430 29 4
25 42 71 138 44 7.0 487 9 9
26 46 66 120 45 7.4 470 28 7
